id,resblock_id,resblock_id_text,dist_restau2017,dist_restau2018,dist_restau2019,dist_restau2020,dist_restau2021,dist_con_store2017,dist_con_store2018,dist_con_store2019,dist_con_store2020,dist_con_store2021,dist_mall2017,dist_mall2018,dist_mall2019,dist_mall2020,dist_mall2021,dist_gym2017,dist_gym2018,dist_gym2019,dist_gym2020,dist_gym2021,dist_cinema2017,dist_cinema2018,dist_cinema2019,dist_cinema2020,dist_cinema2021,dist_bar2017,dist_bar2018,dist_bar2019,dist_bar2020,dist_bar2021,dist_univ,dist_top_univ,dist_topmid_school,dist_mid_school,dist_toppri_school,dist_pri_school,dist_parks,dist_hospital,dist_bus2017,dist_bus2018,dist_bus2019,dist_bus2020,dist_bus2021
69,5011000000083 ,'5011000000083,49.39242788,51.52722457,33.54280873,64.41357127,64.41357127,127.3887272,100.7775618,99.10445066,99.10445066,95.47591871,300.6472665,300.6472665,300.6472665,300.6472665,295.189339,122.1136839,39.66684841,122.1136839,124.2199585,122.1136839,192.1730308,192.1730308,338.8750766,338.8750766,365.7103465,78.44204738,100.4652678,94.4027997,79.82001977,79.82001977,1144.944208,2440.457218,644.1335532,284.4720046,1510.058493,343.2778626,679.9954501,288.5563571,247.5026426,247.5026426,250.7511694,245.9229937,251.9855251
70,5011000000096 ,'5011000000096,248.740553,320.5618015,199.1522731,235.8342305,236.0242615,269.0794855,254.6346649,264.6227803,213.7662687,319.312304,2349.976719,2349.976719,2391.070312,2391.070312,2437.884133,315.4386456,315.4386456,315.4386456,310.6946936,310.6946936,2370.293179,2370.293179,2341.884115,2332.243333,2340.606514,732.1790774,732.1790774,732.3791416,685.7613714,599.2423339,2613.677021,2613.677021,2243.003015,823.6783234,5144.90385,606.5365637,1059.142807,2745.895439,340.7643851,340.7643851,340.7643851,340.7643851,340.7643851
71,5011000000102 ,'5011000000102,70.46966561,70.46966561,80.61423477,95.22347852,105.0112613,66.17739458,150.3863138,150.3863138,150.3863138,169.495802,453.734875,453.734875,453.734875,454.6924861,451.4609997,455.3769246,455.3769246,455.3769246,398.2410934,391.4087931,420.3652599,420.3652599,416.6497108,422.2139717,414.4396017,400.5394878,268.5253407,268.5253407,268.5253407,268.5253407,261.6874496,261.6874496,107.3129774,107.3129774,676.4658689,299.4992525,384.3009785,983.9393679,155.0926978,154.383467,158.4956436,162.1965903,170.6685437
72,5011000000115 ,'5011000000115,146.1170061,120.6810717,164.1193876,108.3569944,108.3569944,75.46436199,75.46436199,75.46436199,75.46436199,75.46436199,1439.674092,715.999068,670.4445872,673.6634449,673.4263934,216.0344239,216.0344239,216.0344239,315.5120943,244.8405162,414.4790964,414.4790964,401.6625734,314.61393,414.4790964,309.7103655,309.7103655,487.2894442,272.8529612,350.4887822,1057.708033,1057.708033,408.067286,159.480553,1541.520221,562.7607152,590.6867222,371.2712155,218.4622734,217.5410786,217.5410786,217.5410786,216.905778
73,5011000000117 ,'5011000000117,176.599497,186.9863836,179.6309551,179.9355041,181.8762474,182.1467427,182.1467427,176.3721282,176.3721282,176.3721282,656.8792419,721.4712644,656.5685306,427.2865805,664.8501985,475.7054321,213.0419416,311.8453222,302.0253804,311.4294658,665.0322456,826.8303061,659.4894345,659.4894345,528.8749168,541.106206,394.3589826,386.589424,194.869169,502.5276968,900.2137294,900.2137294,744.6262651,253.8379041,869.2252933,79.1209325,887.6769071,284.3259859,202.7507935,202.7507935,199.5571567,200.5278619,200.7069652
74,5011000000118 ,'5011000000118,222.1844664,216.1004826,171.5774335,184.7709228,211.0569243,224.83665,224.83665,224.83665,232.9841059,232.9841059,692.1001654,692.1001654,671.1635426,671.1635426,664.3240333,651.4109539,656.2052241,219.0605058,404.5673778,410.9992481,752.7945665,752.7945665,761.2545333,774.4245939,537.7482247,809.6879268,401.564255,704.5783256,881.6530876,619.1636351,3913.643649,3913.643649,577.7231223,577.7231223,3167.262877,470.1598391,232.3130935,2128.128616,131.7120589,131.7120589,131.2686574,131.2686574,131.2686574
75,5011000000122 ,'5011000000122,158.7572675,105.1951944,127.9825586,79.43827324,113.6114458,180.1936978,152.46406,206.0199493,185.0345015,173.2830433,836.2113043,836.2113043,825.3231321,825.3231321,821.3345634,680.3996804,686.7152924,454.0784423,612.2784488,613.8177286,947.99582,947.99582,954.7742319,975.9389643,617.7630699,436.7207012,270.1143099,440.7151631,438.1318571,145.0626786,3935.406487,3935.406487,392.4408408,331.9114632,2810.499933,482.746612,141.0274995,1902.349097,102.8444239,103.3975005,103.3975005,102.3772516,102.3772516
76,5011000000130 ,'5011000000130,271.7946465,79.27252574,267.5327269,129.3810381,277.7935565,307.5610592,71.27542284,307.5610592,420.8139024,313.0169742,615.3239873,615.3239873,615.3239873,620.7449421,620.7449421,254.0798417,254.0798417,254.0798417,254.0798417,535.8110713,633.8087414,633.8087414,586.1465478,573.0617005,586.1465478,568.4127335,339.6011473,339.6011473,588.3432954,507.3084054,4298.840805,4298.840805,9267.727138,1121.43107,10482.65233,525.9883034,374.6877005,301.8874631,206.3784918,206.3784918,389.8919478,206.2654412,395.3276229
77,5011000000143 ,'5011000000143,137.0129292,137.0129292,137.0129292,189.9704099,248.243051,210.7367162,210.7367162,210.7367162,270.6273509,259.2057281,986.2037637,584.3888217,584.3888217,987.4263193,988.657245,80.58167478,80.58167478,146.5770297,112.890877,146.5795874,223.1988099,223.1988099,1637.651673,1651.742827,1651.742827,395.588084,395.588084,395.588084,384.1994281,384.1994281,480.1679068,5257.110537,826.4079562,817.4106039,1942.291498,881.9063689,1273.812288,2825.838684,180.2309678,179.5026197,182.0251936,182.0251936,182.0251936
78,5011000000146 ,'5011000000146,139.0111175,139.0183631,127.3256337,88.16539476,88.16539476,257.1549529,257.1549529,222.4485269,151.7003889,151.7003889,811.7568674,811.7568674,774.1063145,950.7310093,950.7310093,381.1666321,448.8528475,425.6778397,193.7366352,193.7366352,467.6191737,467.6191737,467.6191737,467.6191737,467.6191737,363.2403689,330.4667584,330.4667584,229.1958779,380.1417843,1097.15771,2325.294152,1076.733396,551.1184169,442.5104623,442.5104623,793.5942987,1562.287442,313.8255211,313.0334527,313.0334527,314.5016982,314.8513287
