id,dist_univ,dist_top_univ,dist_topmid_school,dist_mid_school,dist_toppri_school,dist_pri_school,dist_parks,dist_hospital,dist_bus2017,dist_bus2018,dist_bus2019,dist_bus2020,dist_bus2021,dist_restau2017,dist_restau2018,dist_restau2019,dist_restau2020,dist_restau2021,dist_mall2017,dist_mall2018,dist_mall2019,dist_mall2020,dist_mall2021,dist_con_store2017,dist_con_store2018,dist_con_store2019,dist_con_store2020,dist_con_store2021,dist_gym2017,dist_gym2018,dist_gym2019,dist_gym2020,dist_gym2021,dist_cinema2017,dist_cinema2018,dist_cinema2019,dist_cinema2020,dist_cinema2021,dist_bar2017,dist_bar2018,dist_bar2019,dist_bar2020,dist_bar2021
3211,1122.694041,1122.694041,3884.522759,1208.277973,5880.626902,922.0694852,881.8869218,4019.460354,223.1813854,223.1813854,223.1813854,223.0580393,223.0580393,191.6021195,202.082275,208.4829409,125.8847367,125.8847367,963.7485909,963.7485909,948.8327608,948.8327608,947.2355437,119.2416268,350.0472727,194.6646024,272.8843955,164.2472853,202.2283107,239.7171679,219.0259456,177.3340635,278.2802515,1393.493537,1819.870855,1460.475117,897.8187917,897.8187917,346.2955714,346.2955714,346.2955714,403.0129433,389.2892471
3212,120.3474293,120.3474293,620.8168365,243.659191,1124.296831,437.4960983,345.3644416,443.5608274,152.8333677,152.8333677,152.8333677,152.8333677,152.5057077,118.1905734,118.1905734,162.196646,165.2212006,165.2212006,403.5754755,403.5754755,404.4967112,404.4967112,404.4967112,137.5827868,137.5827868,137.5827868,181.3980505,146.6582363,410.667232,367.9951828,413.1892697,371.1143895,356.622074,325.970237,326.6306348,311.0189787,311.0189787,479.1158148,338.8060795,408.3360807,436.8890457,454.8241789,454.6613029
3213,9694.72163,9694.72163,11470.67009,1077.28264,11181.50665,2078.123819,980.7652378,5870.667228,393.3219312,388.2924113,388.2924113,388.2924113,388.2924113,314.5847559,314.5847559,314.5847559,314.5847559,319.4784415,1603.951688,1551.987133,1603.951688,1612.972752,1612.972752,575.2713626,575.2713626,575.2713626,571.1608,575.2713626,372.276975,372.276975,372.276975,586.236816,586.236816,1603.536481,1603.536481,1578.518897,1578.518897,1561.529579,353.4726342,353.4726342,372.276975,532.1434661,161.6407153
3214,3239.484547,3239.484547,3026.356009,189.02413,2055.883152,955.2397298,872.7493351,2629.296499,144.7675736,144.7675736,147.0309141,147.0309141,142.0119636,92.76882662,92.76882662,92.76882662,92.76882662,115.5794122,793.1474514,793.1474514,793.1474514,793.1474514,792.5478019,138.8413056,141.9838444,141.9838444,174.194342,136.0495629,292.3741967,286.0954269,299.3256627,299.3256627,299.3256627,337.4735027,337.4735027,347.8451878,342.2502722,342.2502722,135.8239828,135.8239828,135.8239828,135.8239828,135.7637448
3215,3607.949514,3607.949514,1395.752288,373.1930251,3938.321047,456.2816758,588.0460677,2812.876559,400.8185371,400.8185371,400.8185371,402.146695,399.487422,304.4834144,204.5077718,197.3884709,294.8153192,244.4382227,1205.164417,1205.164417,1205.164417,1205.164417,1207.382082,132.7427854,132.7427854,130.241316,135.4991929,125.6218525,596.1328552,596.1328552,588.0460677,588.0460677,588.0460677,1237.598029,1237.598029,1244.180014,1241.199616,1236.199853,542.6049538,542.6049538,542.6049538,1313.660665,823.5489689
3216,3128.208511,3128.208511,2175.852278,539.4232468,2982.496911,850.5659018,1152.165243,3140.399591,113.2975308,106.2753649,106.2753649,106.2753649,106.2753649,81.98820308,73.27777496,55.61235509,79.46203691,63.20704085,370.3572416,370.3572416,330.3739124,330.3739124,330.3739124,65.35847764,65.35847764,56.12540804,57.55733978,58.0092299,331.71882,331.71882,331.71882,337.7084742,337.7084742,1702.037527,1359.253653,1152.676076,1139.306487,1004.920958,455.3163561,455.3163561,196.9432175,186.9908765,181.9338047
3217,1986.665917,5376.227534,71.37490965,71.37490965,853.1910482,614.6216543,679.0107628,2126.720952,156.8606573,156.5031624,155.1381235,155.1381235,156.9598538,75.9339487,75.9339487,79.42889088,77.94312909,81.0982812,1303.631072,1303.631072,1878.067713,1578.189576,1289.920807,80.19780907,80.19780907,80.31728934,79.16464941,79.16464941,396.1177516,87.46344918,87.46344918,87.46344918,97.53777935,1152.864683,853.8443451,1152.864683,1152.864683,1152.864683,887.5518368,707.5975094,705.6173046,455.8865375,678.5785214
3218,2278.500642,4192.596408,1422.025564,888.9235533,1321.90195,596.0137048,523.1658695,1801.475136,107.9421476,105.9366017,105.9366017,103.0699636,103.5569987,98.66150754,98.66150754,99.32020183,83.62514307,64.34986893,1066.275735,1066.275735,1066.275735,1066.275735,2072.757103,91.65983238,91.65983238,91.65983238,88.66557992,86.00872402,229.0001608,216.9795651,216.9795651,249.583741,249.583741,1856.743125,1856.743125,1856.743125,1585.890159,1856.743125,234.6344352,234.6344352,234.6344352,234.6344352,259.254759
3219,2828.995957,2828.995957,3072.91793,1142.911498,3132.393429,1618.321424,1006.253309,5823.030478,310.7756295,310.7756295,310.7756295,314.7261649,311.5185045,198.1900318,200.7672458,200.7672458,207.7983466,207.7983466,1466.065001,1712.185453,1734.219539,780.4320615,780.4320615,213.9726905,213.9726905,213.9726905,213.9726905,216.9322435,667.6924354,342.80256,411.8287149,306.9057074,472.0583212,713.9409259,713.9409259,769.7561367,330.7041406,769.7561367,806.3495876,674.2207026,745.5443825,325.5521671,344.6106303
3220,5869.036031,5869.036031,6115.793735,1301.299478,8790.830254,616.86277,1234.742349,867.3270301,315.9785881,316.4238682,282.8865624,315.9785881,305.7424134,32.91576981,32.91576981,32.91576981,226.9004151,222.3092927,2461.729821,1679.148727,1682.900335,1328.39747,1682.900335,56.19988047,56.19988047,56.19988047,225.5019076,223.004878,579.8931987,579.8931987,581.4822295,577.0208075,577.0208075,1230.503396,1230.503396,1230.503396,1230.503396,1203.312215,1189.932287,994.6950896,994.6950896,774.9722797,110.5483279
3221,2878.665973,4117.114125,1831.60048,659.196467,4374.168391,625.7168572,376.4085121,382.5144819,142.2714849,142.2714849,141.6017115,125.8894011,191.2478768,46.09838483,113.1729183,46.09838483,148.6804877,210.5903393,1479.138334,1479.138334,1479.138334,1486.32208,1486.32208,176.2581801,220.2550899,215.3202443,215.5573238,215.5573238,283.8574384,278.5439318,290.8355009,470.5758675,552.6556753,1503.650234,1503.650234,1503.650234,1470.0038,829.715876,553.9806996,553.9806996,553.9806996,553.9806996,730.7463318
3222,1769.841391,6301.029967,1352.367479,369.1881582,2011.883558,1381.559934,800.5195856,1659.686068,288.2523539,290.1064876,290.1064876,290.1064876,290.0805165,54.53916035,52.22015382,52.88325716,57.79713077,57.79713077,488.951896,1082.082245,563.6385429,1080.294458,1463.664721,47.95790979,47.95790979,47.95790979,47.95790979,94.27280784,257.4172687,38.49608076,38.49608076,38.49608076,37.97405222,740.29013,740.29013,739.261731,743.2842235,896.5899346,172.4322949,164.5474493,172.4322949,536.9986017,390.3672828
3223,1035.4737,3093.639274,1977.037419,236.487861,1339.663512,233.3643001,291.2569101,914.0709098,204.1374032,203.8475637,203.8475637,203.8475637,203.8475637,15.28370028,8.271679472,16.01789743,10.21152005,14.13846067,215.2465178,215.2465178,150.2043133,215.4187097,215.4187097,18.57912465,18.57912465,39.09959782,28.93940867,28.20366785,80.51814213,80.51814213,74.55545844,93.56164852,99.22592816,44.98589672,44.98589672,43.48874394,43.48874394,43.48874394,20.00767495,20.00767495,20.00767495,20.00767495,20.00767495
3224,2330.378779,2330.378779,1206.820536,245.141863,3006.303212,316.3757735,280.7389133,2873.678938,306.5640619,276.9012271,306.5640619,290.3272725,301.6891377,44.94913344,48.67057058,48.67057058,48.67057058,48.67057058,974.3753196,974.3753196,974.3753196,909.7528305,864.5119595,52.88556321,52.88556321,46.98819424,46.98819424,50.57406076,82.15363975,82.15363975,82.15363975,82.15363975,121.3444879,754.7230119,754.7230119,754.7230119,754.7230119,707.9541188,752.1964049,471.5492792,497.054729,617.1164918,752.3338489
