resblock_id,jiedao
5011000012653 ,淞南镇
5011000012698 ,淞南镇
5011000012698 ,淞南镇
5011000012701 ,淞南镇
5011000012702 ,淞南镇
5011000012725 ,淞南镇
5011000012731 ,淞南镇
5011000012920 ,淞南镇
5011000013512 ,淞南镇
5011000013856 ,淞南镇
5011000013856 ,淞南镇
5011000014185 ,淞南镇
5011000014185 ,淞南镇
5011000014835 ,淞南镇
5011000014913 ,淞南镇
5011000015245 ,淞南镇
5011102210114 ,淞南镇
5011102210120 ,淞南镇
5011102210177 ,淞南镇
5011102210390 ,淞南镇
5011102210438 ,淞南镇
5012742364771310 ,淞南镇
5012970645271090 ,淞南镇
5012970645271100 ,淞南镇
5012970645271150 ,淞南镇
5016389506370510 ,淞南镇
5020038219908800 ,淞南镇
5020038219908940 ,淞南镇
5020038219909020 ,淞南镇
5020038389775090 ,淞南镇
509821540058069 ,淞南镇
5011102210390 ,淞南镇
5011000000072 ,吴淞街道
5011000000201 ,吴淞街道
5011000000357 ,吴淞街道
5011000000427 ,吴淞街道
5011000001678 ,吴淞街道
5011000001759 ,吴淞街道
5011000002239 ,吴淞街道
5011000002281 ,吴淞街道
5011000003564 ,吴淞街道
5011000003797 ,吴淞街道
5011000003909 ,吴淞街道
5011000004531 ,吴淞街道
5011000004531 ,吴淞街道
5011000004946 ,吴淞街道
5011000005150 ,吴淞街道
5011000005333 ,吴淞街道
5011000006136 ,吴淞街道
5011000006167 ,吴淞街道
5011000006542 ,吴淞街道
5011000006560 ,吴淞街道
5011000006578 ,吴淞街道
5011000006783 ,吴淞街道
5011000006945 ,吴淞街道
5011000007441 ,吴淞街道
5011000007448 ,吴淞街道
5011000008221 ,吴淞街道
5011000008392 ,吴淞街道
5011000008404 ,吴淞街道
5011000008791 ,吴淞街道
5011000009065 ,吴淞街道
5011000010019 ,吴淞街道
5011000010460 ,吴淞街道
5011000012281 ,吴淞街道
5011000012529 ,吴淞街道
5011000012931 ,吴淞街道
5011000013064 ,吴淞街道
5011000014271 ,吴淞街道
5011000014373 ,吴淞街道
5011000014702 ,吴淞街道
5011000014755 ,吴淞街道
5011000014842 ,吴淞街道
5011000017699 ,吴淞街道
5011000018931 ,吴淞街道
5011000019089 ,吴淞街道
5011000019173 ,吴淞街道
5011000019199 ,吴淞街道
5011000019238 ,吴淞街道
5011000019473 ,吴淞街道
5011000019504 ,吴淞街道
5011000019753 ,吴淞街道
5011000020568 ,吴淞街道
5011000020569 ,吴淞街道
5011000020571 ,吴淞街道
5011000020581 ,吴淞街道
5011000020601 ,吴淞街道
5011102210219 ,吴淞街道
5011102210250 ,吴淞街道
5011102210250 ,吴淞街道
5011102210343 ,吴淞街道
5011102210364 ,吴淞街道
5011102210426 ,吴淞街道
5011102210426 ,吴淞街道
5011102210441 ,吴淞街道
5016022511586880 ,吴淞街道
5020026008527920 ,吴淞街道
5011000000308 ,杨行镇
5011000001118 ,杨行镇
5011000001509 ,杨行镇
5011000001538 ,杨行镇
5011000002083 ,杨行镇
5011000002625 ,杨行镇
5011000003032 ,杨行镇
5011000003819 ,杨行镇
5011000003885 ,杨行镇
5011000003885 ,杨行镇
5011000005386 ,杨行镇
5011000006326 ,杨行镇
5011000006357 ,杨行镇
5011000006400 ,杨行镇
5011000007993 ,杨行镇
5011000007997 ,杨行镇
5011000009044 ,杨行镇
5011000009050 ,杨行镇
5011000009085 ,杨行镇
5011000009418 ,杨行镇
5011000009616 ,杨行镇
5011000009842 ,杨行镇
5011000010040 ,杨行镇
5011000010202 ,杨行镇
5011000010203 ,杨行镇
5011000010212 ,杨行镇
5011000010212 ,杨行镇
5011000010272 ,杨行镇
5011000010836 ,杨行镇
5011000011025 ,杨行镇
5011000011202 ,杨行镇
5011000011540 ,杨行镇
5011000011779 ,杨行镇
5011000012034 ,杨行镇
5011000012404 ,杨行镇
5011000012419 ,杨行镇
5011000012534 ,杨行镇
5011000013358 ,杨行镇
5011000013408 ,杨行镇
5011000013737 ,杨行镇
5011000013742 ,杨行镇
5011000014049 ,杨行镇
5011000014159 ,杨行镇
5011000014427 ,杨行镇
5011000014551 ,杨行镇
5011000014758 ,杨行镇
5011000014814 ,杨行镇
5011000014908 ,杨行镇
5011000015501 ,杨行镇
5011000016133 ,杨行镇
5011000016133 ,杨行镇
5011000017582 ,杨行镇
5011000017696 ,杨行镇
5011000017696 ,杨行镇
5011000017790 ,杨行镇
5011000018850 ,杨行镇
5011000019039 ,杨行镇
5011000019192 ,杨行镇
5011000019796 ,杨行镇
5011000020565 ,杨行镇
5011000020573 ,杨行镇
5011102210103 ,杨行镇
5012970660737020 ,杨行镇
5016389398891380 ,杨行镇
5020020418941740 ,杨行镇
509821540319342 ,杨行镇
509977363955919 ,杨行镇
509977363956288 ,杨行镇
5011000000600 ,友谊路街道
5011000000964 ,友谊路街道
5011000001088 ,友谊路街道
5011000001617 ,友谊路街道
5011000001969 ,友谊路街道
5011000002137 ,友谊路街道
5011000002297 ,友谊路街道
5011000002541 ,友谊路街道
5011000002721 ,友谊路街道
5011000003799 ,友谊路街道
5011000004055 ,友谊路街道
5011000004547 ,友谊路街道
5011000004708 ,友谊路街道
5011000005170 ,友谊路街道
5011000005201 ,友谊路街道
5011000005544 ,友谊路街道
5011000006198 ,友谊路街道
5011000006996 ,友谊路街道
5011000007226 ,友谊路街道
5011000008845 ,友谊路街道
5011000008865 ,友谊路街道
5011000009014 ,友谊路街道
5011000009059 ,友谊路街道
5011000009063 ,友谊路街道
5011000009385 ,友谊路街道
5011000009414 ,友谊路街道
5011000009438 ,友谊路街道
5011000009452 ,友谊路街道
5011000010243 ,友谊路街道
5011000010596 ,友谊路街道
5011000010753 ,友谊路街道
5011000011047 ,友谊路街道
5011000011141 ,友谊路街道
5011000011558 ,友谊路街道
5011000011783 ,友谊路街道
5011000012091 ,友谊路街道
5011000012427 ,友谊路街道
5011000012582 ,友谊路街道
5011000012659 ,友谊路街道
5011000012661 ,友谊路街道
5011000012883 ,友谊路街道
5011000013061 ,友谊路街道
5011000013087 ,友谊路街道
5011000013088 ,友谊路街道
5011000013100 ,友谊路街道
5011000013226 ,友谊路街道
5011000013287 ,友谊路街道
5011000013385 ,友谊路街道
5011000013425 ,友谊路街道
5011000013453 ,友谊路街道
5011000013575 ,友谊路街道
5011000013659 ,友谊路街道
5011000013659 ,友谊路街道
5011000013763 ,友谊路街道
5011000014063 ,友谊路街道
5011000014134 ,友谊路街道
5011000014357 ,友谊路街道
5011000014363 ,友谊路街道
5011000014631 ,友谊路街道
5011000014871 ,友谊路街道
5011000014977 ,友谊路街道
5011000019161 ,友谊路街道
5011000019480 ,友谊路街道
5011000020520 ,友谊路街道
5011000020529 ,友谊路街道
5011000020535 ,友谊路街道
5011065852440900 ,友谊路街道
5011102210028 ,友谊路街道
5011102210037 ,友谊路街道
5011102210048 ,友谊路街道
5011102210051 ,友谊路街道
5011102210052 ,友谊路街道
5011102210053 ,友谊路街道
5011102210403 ,友谊路街道
5014217695496310 ,友谊路街道
5014508005821500 ,友谊路街道
5016389545929860 ,友谊路街道
509821540057798 ,友谊路街道
509977363955897 ,友谊路街道
5011000000048 ,月浦镇
5011000000322 ,月浦镇
5011000000346 ,月浦镇
5011000000476 ,月浦镇
5011000000500 ,月浦镇
5011000000608 ,月浦镇
5011000000617 ,月浦镇
5011000000619 ,月浦镇
5011000000636 ,月浦镇
5011000000937 ,月浦镇
5011000000993 ,月浦镇
5011000000993 ,月浦镇
5011000001094 ,月浦镇
5011000001534 ,月浦镇
5011000001682 ,月浦镇
5011000001846 ,月浦镇
5011000001997 ,月浦镇
5011000002363 ,月浦镇
5011000002556 ,月浦镇
5011000002854 ,月浦镇
5011000002876 ,月浦镇
5011000003742 ,月浦镇
5011000004149 ,月浦镇
5011000004378 ,月浦镇
5011000004440 ,月浦镇
5011000004473 ,月浦镇
5011000004631 ,月浦镇
5011000004735 ,月浦镇
5011000004830 ,月浦镇
5011000005073 ,月浦镇
5011000005531 ,月浦镇
5011000006533 ,月浦镇
5011000007015 ,月浦镇
5011000008884 ,月浦镇
5011000009419 ,月浦镇
5011000009614 ,月浦镇
5011000010268 ,月浦镇
5011000010468 ,月浦镇
5011000010615 ,月浦镇
5011000012140 ,月浦镇
5011000012763 ,月浦镇
5011000012873 ,月浦镇
5011000013041 ,月浦镇
5011000013204 ,月浦镇
5011000013318 ,月浦镇
5011000013400 ,月浦镇
5011000013860 ,月浦镇
5011000014440 ,月浦镇
5011000014646 ,月浦镇
5011000014664 ,月浦镇
5011000018922 ,月浦镇
5011000019010 ,月浦镇
5011000019234 ,月浦镇
5011000019465 ,月浦镇
5011000019501 ,月浦镇
5011000020530 ,月浦镇
5011102210171 ,月浦镇
5011102210404 ,月浦镇
5011102210404 ,月浦镇
5011102210404 ,月浦镇
5016389506370050 ,月浦镇
509977363956070 ,月浦镇
509977363956351 ,月浦镇
5011000000414 ,张庙街道
5011000000486 ,张庙街道
5011000000794 ,张庙街道
5011000002305 ,张庙街道
5011000002332 ,张庙街道
5011000002915 ,张庙街道
5011000003604 ,张庙街道
5011000003604 ,张庙街道
5011000005412 ,张庙街道
5011000005447 ,张庙街道
5011000006128 ,张庙街道
5011000009017 ,张庙街道
5011000009621 ,张庙街道
5011000009621 ,张庙街道
5011000010003 ,张庙街道
5011000010840 ,张庙街道
5011000012087 ,张庙街道
5011000012109 ,张庙街道
5011000012212 ,张庙街道
5011000012309 ,张庙街道
5011000012343 ,张庙街道
5011000012556 ,张庙街道
5011000012670 ,张庙街道
5011000012729 ,张庙街道
5011000012782 ,张庙街道
5011000012817 ,张庙街道
5011000013090 ,张庙街道
5011000013126 ,张庙街道
5011000013517 ,张庙街道
5011000013627 ,张庙街道
5011000013684 ,张庙街道
5011000014165 ,张庙街道
5011000014297 ,张庙街道
5011000014524 ,张庙街道
5011000014640 ,张庙街道
5011000014640 ,张庙街道
5011000014885 ,张庙街道
5011000015088 ,张庙街道
5011000015119 ,张庙街道
5011000017146 ,张庙街道
5011000017209 ,张庙街道
5011000018585 ,张庙街道
5011000018742 ,张庙街道
5011000019098 ,张庙街道
5011000020519 ,张庙街道
5011000020532 ,张庙街道
5011000020532 ,张庙街道
5011000020533 ,张庙街道
5011000020602 ,张庙街道
5011102210063 ,张庙街道
5013829270155170 ,张庙街道
5013829270155170 ,张庙街道
5016074022072930 ,张庙街道
5016635237248800 ,张庙街道
5016635417605020 ,张庙街道
5011000014640 ,张庙街道
5011000001274 ,堡镇
5011000001364 ,堡镇
5011000002262 ,堡镇
5011000004540 ,堡镇
5011000005109 ,堡镇
5011000008687 ,堡镇
5011000010200 ,堡镇
5011000011138 ,堡镇
5011000018905 ,堡镇
5011000019007 ,堡镇
5011371291881880 ,堡镇
5011948942438930 ,堡镇
5012424657514630 ,堡镇
5012424936960910 ,堡镇
5012428368425460 ,堡镇
5016389371080630 ,堡镇
5016389388383210 ,堡镇
5016389398891410 ,堡镇
5016389495337230 ,堡镇
