id,dist_metro2017,dist_metro2018,dist_metro2019,dist_metro2020,dist_metro2021
4583,3509.319855,3509.319855,1569.118798,1569.118798,5993.108507
4584,441.9301674,441.9301674,1223.280527,1223.280527,1361.555978
4585,2196.262408,2196.262408,2196.262408,2196.262408,2167.064949
4586,2647.914842,2647.914842,777.8907008,777.8907008,5155.602859
4587,4036.647237,4036.647237,3833.707218,3833.707218,1817.493566
4588,826.9009973,826.9009973,826.9009973,826.9009973,6281.579738
4589,3048.740086,3048.740086,3048.740086,3048.740086,3606.155059
4590,3386.866583,3386.866583,1075.519108,1075.519108,5135.952134
4591,2076.334832,2076.334832,2076.334832,2076.334832,9032.777261
4592,1996.374633,1996.374633,1996.374633,1996.374633,4528.976801
4593,2161.030231,2161.030231,1873.989177,1873.989177,2161.030231
4594,3204.071089,3204.071089,3204.071089,3204.071089,585.2336071
4595,3253.302763,3237.103625,3253.302763,3253.302763,3253.302763
4596,506.3788669,506.3788669,506.3788669,506.3788669,948.5566752
4597,3499.21683,3499.21683,1596.439937,1596.439937,7850.157253
4598,3581.712702,3581.712702,3503.463568,3503.463568,3581.712702
4599,3539.75251,3539.75251,3447.251953,3447.251953,3868.972286
4600,4810.370684,4810.370684,4478.246459,4478.246459,1826.13907
4601,1271.863171,1271.863171,1271.863171,1271.863171,504.5904854
4602,4301.77039,4301.77039,3325.025584,3325.025584,2640.597833
4603,2257.380887,2257.380887,715.13413,715.13413,4553.764369
4604,2330.956392,2330.956392,2177.885427,2177.885427,2330.956392
4605,2749.067202,2749.067202,2749.067202,2749.067202,3010.731378
4606,3531.224081,3531.224081,937.3987871,937.3987871,7226.066662
4607,2581.848987,2581.848987,2188.572674,2188.572674,4844.447995
4608,2751.970948,2751.970948,2751.970948,2751.970948,8224.838559
4609,5010.259738,5010.259738,5010.259738,5174.623756,2747.021468
4610,3443.079169,3443.079169,1807.351866,1807.351866,8008.102641
4611,610.8823129,610.8823129,610.8823129,445.4019553,7860.755528
